Alarm,En_TrobleShootingDescription,ZH_TrobleShootingDescription,TrobleShootingFilePath
None,Ask GPM for Help,請洽GPM,
SoftwareEMS,Ask GPM for Help,請洽GPM,
EMS,Ask GPM for Help,請洽GPM,
Safety_Relays,Ask GPM for Help,請洽GPM,
EMO_Button,Ask GPM for Help,請洽GPM,
Bumper,Ask GPM for Help,請洽GPM,
Zaxis_Up_Limit,Ask GPM for Help,請洽GPM,
Zaxis_Down_Limit,Ask GPM for Help,請洽GPM,
Wago_IO_Disconnect,Ask GPM for Help,請洽GPM,
Wago_IO_WRITE_Disconnect,Ask GPM for Help,請洽GPM,
Wago_IO_Read_Fail,Ask GPM for Help,請洽GPM,
Wago_IO_Write_Fail,Ask GPM for Help,請洽GPM,
PLC_MC_Disconnect,Ask GPM for Help,請洽GPM,
PLC_MC_Initial_Fail,Ask GPM for Help,請洽GPM,
Not_Yet_Initial,Ask GPM for Help,請洽GPM,
Battery_Not_Lock,Ask GPM for Help,請洽GPM,
Battery1_Not_Lock,Ask GPM for Help,請洽GPM,
Battery2_Not_Lock,Ask GPM for Help,請洽GPM,
Battery_Not_UnLock,Ask GPM for Help,請洽GPM,
Battery1_Not_UnLock,Ask GPM for Help,請洽GPM,
Battery2_Not_UnLock,Ask GPM for Help,請洽GPM,
Action_Timeout,Ask GPM for Help,請洽GPM,
Fork_Action_Aborted,Ask GPM for Help,請洽GPM,
Auto_Reset_Timeout,Ask GPM for Help,請洽GPM,
Lock_Action_Timeout,Ask GPM for Help,請洽GPM,
Lock1_Action_Timeout,Ask GPM for Help,請洽GPM,
Lock2_Action_Timeout,Ask GPM for Help,請洽GPM,
Unlock_Action_Timeout,Ask GPM for Help,請洽GPM,
Unlock1_Action_Timeout,Ask GPM for Help,請洽GPM,
Unlock2_Action_Timeout,Ask GPM for Help,請洽GPM,
Wheel_Motor_IO_Error,Ask GPM for Help,請洽GPM,
Wheel_Motor_IO_Error_Left,Ask GPM for Help,請洽GPM,
Wheel_Motor_IO_Error_Right,Ask GPM for Help,請洽GPM,
Wheel_Motor_IO_Error_Left_Front,Ask GPM for Help,請洽GPM,
Wheel_Motor_IO_Error_Right_Front,Ask GPM for Help,請洽GPM,
Wheel_Motor_IO_Error_Left_Rear,Ask GPM for Help,請洽GPM,
Wheel_Motor_IO_Error_Right_Rear,Ask GPM for Help,請洽GPM,
Wheel_Motor_Alarm,Ask GPM for Help,請洽GPM,
Vertical_Motor_IO_Error,Ask GPM for Help,請洽GPM,
Vertical_Motor_Alarm,Ask GPM for Help,請洽GPM,
Barcode_Module_Error,Ask GPM for Help,請洽GPM,
IMU_Module_Error,Ask GPM for Help,請洽GPM,
IMU_Impacting_X_Dir,Ask GPM for Help,請洽GPM,
IMU_Impacting_Y_Dir,Ask GPM for Help,請洽GPM,
IMU_Impacting,Ask GPM for Help,請洽GPM,
IMU_Pitch_State_Error,Ask GPM for Help,請洽GPM,
Guide_Module_Error,Ask GPM for Help,請洽GPM,
Pin_Module_Communication_Error,Ask GPM for Help,請洽GPM,
Front_Pin_Module_Communication_Error,Ask GPM for Help,請洽GPM,
Back_Pin_Module_Communication_Error,Ask GPM for Help,請洽GPM,
Pin_Module_Pos_Check_Fail,Ask GPM for Help,請洽GPM,
Front_Pin_Module_Pos_Check_Fail,Ask GPM for Help,請洽GPM,
Back_Pin_Module_Pos_Check_Fail,Ask GPM for Help,請洽GPM,
Pin_Action_Error,Ask GPM for Help,請洽GPM,
Pin_Pose_Fail,Ask GPM for Help,請洽GPM,
Front_Pin_Pose_not_up,Ask GPM for Help,請洽GPM,
Back_Pin_Pose_not_up,Ask GPM for Help,請洽GPM,
Front_Pin_Pose_not_down,Ask GPM for Help,請洽GPM,
Back_Pin_Pose_not_down,Ask GPM for Help,請洽GPM,
Belt_Sensor_Error,Ask GPM for Help,請洽GPM,
Belt_Sensor_Error_1,Ask GPM for Help,請洽GPM,
Belt_Sensor_Error_2,Ask GPM for Help,請洽GPM,
Belt_Sensor_Error_3,Ask GPM for Help,請洽GPM,
Belt_Sensor_Error_4,Ask GPM for Help,請洽GPM,
Pin_IO_Error,Ask GPM for Help,請洽GPM,
Oh_Over_Load,Ask GPM for Help,請洽GPM,
Oh_Sway_Error_,Ask GPM for Help,請洽GPM,
Oh_Pos_Check_Fail,Ask GPM for Help,請洽GPM,
Fork_IO_Error,Ask GPM for Help,請洽GPM,
Fork_Bumper_Error,Ask GPM for Help,請洽GPM,
Fork_Bumper_Error_Up,Ask GPM for Help,請洽GPM,
